Data;Comercial_GWh;Residencial_GWh;Industrial_GWh;Outros_GWh;Brasil_GWh
jan/79;1.038;1.712;4.215;982;7.947
fev/79;1.03;1.647;4.221;961;7.859
mar/79;1.057;1.736;4.329;986;8.108
abr/79;1.044;1.681;4.405;1.008;8.138
mai/79;1.038;1.757;4.563;997;8.355
jun/79;1.002;1.689;4.672;1.016;8.379
jul/79;979;1.73;4.716;1.03;8.455
ago/79;985;1.697;4.779;1.035;8.496
set/79;1.047;1.809;4.89;1.059;8.805
out/79;1.067;1.789;4.776;1.05;8.682
nov/79;1.113;1.84;4.94;1.07;8.963
dez/79;1.139;1.867;4.896;1.057;8.959
jan/80;1.185;1.93;4.806;1.082;9.003
fev/80;1.144;1.865;4.808;1.074;8.891
mar/80;1.152;1.885;4.833;1.086;8.956
abr/80;1.175;1.914;4.901;1.076;9.066
mai/80;1.137;1.932;5.009;1.173;9.251
jun/80;1.114;1.894;5.162;1.128;9.298
jul/80;1.071;1.891;5.149;1.123;9.234
ago/80;1.116;1.965;5.432;1.166;9.679
set/80;1.135;1.946;5.369;1.164;9.614
out/80;1.115;1.939;5.391;1.163;9.608
nov/80;1.22;2.061;5.505;1.168;9.954
dez/80;1.186;1.962;5.121;1.232;9.501
jan/81;1.329;2.296;5.235;1.242;10.102
fev/81;1.241;2.029;5.031;1.167;9.468
mar/81;1.257;2.08;5.23;1.237;9.804
abr/81;1.179;1.974;5.067;1.185;9.405
mai/81;1.188;2.083;5.175;1.21;9.656
jun/81;1.132;1.949;5.059;1.22;9.36
jul/81;1.105;2.007;5.119;1.239;9.47
ago/81;1.156;2.09;5.233;1.273;9.752
set/81;1.153;2.081;4.973;1.279;9.486
out/81;1.191;2.117;4.994;1.287;9.589
nov/81;1.236;2.149;5.128;1.268;9.781
dez/81;1.257;2.105;4.906;1.261;9.529
jan/82;1.332;2.326;4.875;1.352;9.885
fev/82;1.226;2.05;4.836;1.281;9.393
mar/82;1.256;2.14;5.039;1.277;9.712
abr/82;1.375;2.342;5.388;1.342;10.447
mai/82;1.222;2.163;5.285;1.329;9.999
jun/82;1.231;2.207;5.399;1.356;10.193
jul/82;1.219;2.239;5.496;1.371;10.325
